id,name,description,website,email,street_address,city,country,postal_code,facebook,twitter,phone_number
15,Lighthouse Labs,"Lighthouse Labs is a modern, immersive teaching facility for web and mobile software development.",http://www.lighthouselabs.ca/,enrollment@lighthouselabs.ca,300 - 128 W. Hastings,Vancouver,Canada,V6B 1G8,https://www.facebook.com/lighthouselabsvancouver,https://twitter.com/lighthouse_labs,1-888-569-6898
16,Startup Institute,"Startup Institute is not just another school. It's not an incubator, and it's not a one-off skills class.",https://www.startupinstitute.com/,info@startupinstitute.com,"Global HQ 179 Lincoln St, Suite 405",Boston,United States,2111,https://www.facebook.com/StartupInst,https://twitter.com/startupinst,01-888-425-5557
17,Starter League,"The Starter League is an immersive, beginner-friendly school in Chicago. We built this school for one reason - to teach you how to solve problems you care about with technology.",http://www.starterleague.com/,hello@starterleague.com,30 N Racine Ave,Chicago,United States,60607,https://www.facebook.com/StarterLeague/info,https://twitter.com/starterleague,1-815-904-0824
18,The Flat Iron School,"The Flatiron School trains passionate, creative people in web and mobile development.",http://flatironschool.com/,info@flatironschool.com,"11 Broadway, Suite 260",New York,United States,10004,https://www.facebook.com/FlatironSchool,https://twitter.com/FlatironSchool,1-888-958-0569
19,Thinkful,"Learn the professional skills you need to advance your career with one-on-one mentorship, a thriving student community, and a project-driven curriculum.",https://www.thinkful.com/a/switchup,hello@thinkful.com,"304 Hudson Street, Suite 505
",New York,United States,10013,https://www.facebook.com/thinkfulschool,https://twitter.com/thinkful,1-858-367-3232
20,The Tech Academy Portland,"The Tech Academy was founded in 2010 by Erik Gross. Mr. Gross served in the US Navy as a nuclear reactor operator. During his service, he also delivered classes and discovered his love for teaching others.",http://techacademyportland.com/,info@techacademyportland.com,"310 SW 4th Ave Ste. 230
",Portland,United States,97204,https://www.facebook.com/pages/The-Tech-Academy/,https://twitter.com/TheTechAcad,503206-6915
21,Turing School of Software & Design,"At Turing we're 100% focused on student success. As a registered Colorado non-profit, we answer to no investors or outside interests. Our strategy and decisions are guided solely by what will lead to the best learning experiences for students.",http://www.turing.io/,contact@turing.io,1510 Blake Street,Denver,United States,80202,https://www.facebook.com/turingschool,https://twitter.com/turingschool,303-731-3117
22,Eleven Fifty Academy,Eleven Fifty offers two types of courses. The immersion courses run from two to seven days and are designed to attract students from all over the world.,https://elevenfifty.com/,contact@elevenfiftyacademy.org,1150 West 116th Street,Carmel,United States,46032,https://www.facebook.com/ElevenFiftyAcademy,https://twitter.com/elevenfifty,855-788-1150
23,DevPoint Labs,Our web development program is an 11 week full-time class created to equip you with the skills to go into the programming field as a entry-level developer.,http://www.devpointlabs.com/,contact@devpointlabs.com,370 S. 300 E.,Salt Lake City,United States,84111,https://www.facebook.com/DevPointLabs,https://twitter.com/DevPointLabs,1-801-448-7240
24,Coding Temple,Coding Temple is a computer programming school located in Chicago and Schaumburg.,http://codingtemple.com/,info@codingtemple.com,222 W Merchandise Mart Plaza,Chicago,United States,60654,http://facebook.com/codingtemple,http://www.twitter.com/coding_temple,773-328-8471
25,Epicodus,"Epicodus's mission is to help people learn the skills they need to get great jobs. For us, “great jobs” means jobs in growing industries that pay well and provide rewarding work.",http://www.epicodus.com/,hi@epicodus.com,208 SW 5th Ave #105,Portland,United States,97204,https://www.facebook.com/epicodus.school,https://twitter.com/epicodus,nil
26,Wyncode Academy,Wyncode Academy is a development boot camp immersing ambitious individuals in a demanding and inspiring learning environment engineered to develop successful coders with business acumen.,http://wyncode.co/,weare@wyncode.co,400 NW 26th St.,Miami,United States,33127,https://www.facebook.com/wyncode,https://twitter.com/wyncode,305-720-2422
27,DevMountain,DevMountain is an industry-leading coding school nestled in the heart of the Wasatch Mountains.,devmounta.in,admin@devmounta.in,560 S 100 W,Provo,United States,84601,https://www.facebook.com/devmountain,https://twitter.com/devmtn,1-8015921983
28,Tradecraft,"Tradecraft is a full time, in-person immersive training program for people who want to become either a ux designer, growth hacker or sales and business development professional.",http://tradecrafted.com/,rklusas@gmail.com,855 Front St,San Francisco,United States,94111,https://www.facebook.com/TradecraftSF,https://twitter.com/Tradecraft,1-8156035101
29,Codify Academy,Codify Academy teaches the skills needed to get hired as a full-time web developer in only 16 weeks.,http://codifyacademy.com/,sambrody@codifyacademy.com,25 Broadway,Manhattan,United States,10004,https://www.facebook.com/codifyacad,https://twitter.com/codifyacad,"
518-521-4189"
30,DaVinci Coders,"Founded in 2012, by the nonprofit, education based-futurist think tank, DaVinci Institute, DaVinci Coders is the first Micro College in Colorado and one of the first in the U.S.",http://davincicoders.com/,jan@davinciinstitute.com,511 E South Boulder Rd,Louisville,United States,80027,https://www.facebook.com/DaVinciCoder,https://twitter.com/DaVinciCodersCO,303-666-4133
31,MakerSquare,"We craft modern software engineersthrough a highly selective 12-week immersion coursein Austin, San Francisco, and Los Angeles.",makersquare.com,"admissions@makersquare.com
","Los Angeles Campus
929 Colorado Avenue, Suite 203
",Santa Monica,United States,90401,https://www.facebook.com/makersquare,https://twitter.com/makersquare,424-442-0310
32,Product School,All our classes are compatible with a regular work schedule and our campus is conveniently located in the heart of San Francisco.,http://www.productschool.com/,admissions@productschool.com,415 Jackson St.,San Francisco,United States,94111,https://www.facebook.com/productschool,,844-GETAPMJOB
33,Designlab,"We’re building the best way to learn creative skills online — through courses that offer hands-on work, community feedback, and personalized mentoring from experts.",http://trydesignlab.com/,hello@trydesignlab.com,4512 Alta Terra Road,Dublin,United States,94568,https://www.facebook.com/trydesignlab,http://www.twitter.com/trydesignlab,206-452-8700
34,Coder Camps,Coder Camps are hands-on coding “boot camps” focused on teaching motivated students the programming skills needed to be successful in a developer role.,http://www.codercamps.com/,howdy@codercamps.com,11200 Broadway Street Suite 2701,Pearland,United States,77584,https://www.facebook.com/CoderCamps,https://twitter.com/CoderCamps,855-755-2267
35,BrainStation,"Founded in 2012, BrainStation is a progressive educational institution that is powering the next generation of creators.",http://www.brainstation.io/,contact@brainstation.io,445 King Street West,Toronto,Canada,M4V 1K4,https://www.facebook.com/brainstation,https://twitter.com/BrainStation,1-800-903-5159
36,Coding House,"The ""Only Live-In"" Web Dev Bootcamp.",http://codinghouse.co/#!home,info@codinghouse.co,2995 Woodside Road #400,Woodside,United States,94062,https://www.facebook.com/codinghouse.co,https://twitter.com/codinghouse,650-600-1020
37,Byte Academy,"Byte Academy is a twelve week, full-time bootcamp to transform you into a financial technology (FinTech) programmer.",http://www.byteacademy.co/,info@byteacademy.co,"295 Madison Ave, 35th Floor",New York,United States,10017,https://www.facebook.com/byteacademy,https://twitter.com/ByteAcademyCo,1-646-500-8608
38,Galvanize,"A network of modern campuses where you can access the skills, knowledge, and network you need to make an impact.",http://www.galvanize.com/,info@galvanize.com,1062 Delaware Street,Denver,United States,80204,https://www.facebook.com/GalvanizeHQ,https://twitter.com/galvanize,303-823-4170
39,Koru,"Koru is a selective, immersive business program that teaches soon-to-be and recent college grads relevant skills in a real work setting and connects them to hiring companies.",http://www.joinkoru.com/,info@joinkoru.com,200 1st Ave W,Seattle,United States,98119,https://www.facebook.com/joinkoru,https://twitter.com/joinkoru,415-964-1010
40,Codeup,"Codeup turns regular people into professional software engineers in San Antonio, Texas.",http://codeup.com/,info@codeup.com,"10th Floor, 112 E Pecan St",San Antonio,United States,78205,https://www.facebook.com/CodeupBootcamp,https://twitter.com/GOCODEUP,210-802-SATX
41,New York Code + Design Academy,"The New York Code + Design Academy offers hands-on, intensive workshops in web and mobile app development and UI/UX design.",http://nycda.com/,info@nycda.com,"90 John Street, Suite 404 
",New York,United States,10038,https://www.facebook.com/TheNewYorkCodeDesignAcademy,https://twitter.com/nycodedesign,212-571-7400
42,NYC Data Science Academy,"NYC Data Science Academy is an educational program that grew out the combined expertise and commitment of the SupStat Inc. staff, a group of data science and big data professionals.",http://nycdatascience.com/,info@nycdatascience.com,"205 E 42nd Street, 16th Flr",New York,United States,10017,https://www.facebook.com/nycdatascience,https://twitter.com/NYCDataSci,1-888-752-7585
43,Skillcrush,"Skillcrush is an interactive online learning community for creatives, thinkers, and makers.",http://skillcrush.com/skillcrush-blueprints/,hello@skillcrush.com,nil,nil,nil,nil,https://www.facebook.com/Skillcrush,https://twitter.com/Skillcrush,nil
44,Bit Bootcamp,BitBootCamp is an immersive programming course designed to make smart people into great data scientist in just under 1 month of intensive training.,http://www.bitbootcamp.com/,info@bitbootcamp.com,"
25 Broadway, Suite 5055 5th Floor",New York,United States,10004,https://www.facebook.com/bitbootcamp1,https://twitter.com/bitbootcamp,nil
45,Bitmaker Labs,We believe that developing and designing web applications is an empowering skill. Our range of full-time and part-time programs can help anyone – with or without prior experience – kick-off a new career.,https://bitmakerlabs.com/,contact@bitmakerlabs.com,"220 King St W, Suite 200",Toronto,Canada,M5H 1K4,https://www.facebook.com/BitmakerLabs,https://twitter.com/bitmakerlabs,647-498-5904
46,Isomer,Utah’s most ambitious web development bootcamp. We integrate enthusiastic future technologists into real-world web development projects.,https://www.isomer.io/#!/,contact@isomer.io,340E 400S,Salt Lake City,United States,84111,https://www.facebook.com/isomerEDU,,1-435-659-6314
47,Sabio.la,"We are the premier, in-person, software-engineering program in Los Angeles, specifically designed for the exceptionally motivated looking to break into the tech industry.",http://sabio.la/,join@sabio.la,400 Corporate Pointe,Culver City,United States,90230,https://www.facebook.com/wesabio,https://twitter.com/WeSabio,562-307-7589
48,Mobile Makers Academy,"Mobile Makers Academy is designed like an app dev shop, where you get both the hard coding skills and the soft skills that employers value.",http://mobilemakers.co/,hello@mobilemakers.co,223 W. Erie St. Suite 4NW,Chicago,United States,60654,https://www.facebook.com/MobileMakers,https://twitter.com/mobilemakers,773-492-1868
49,App Academy,12 week intensive software engineering course in SF & NYC,http://www.appacademy.io/#p-home,contact@appacademy.io,1061 Market St #4,San Francisco,United States,94103,https://www.facebook.com/hashmaplabs,https://twitter.com/appacademyio,1-415-935-3408
50,Shillington School,Our innovative approach to design education means our students can achieve amazing results in a seriously short amount of time.,http://shillingtonschool.com/,newyork@shillingtonschool.com,"315 Madison Ave, Floor 6",New York,United States,10017,https://www.facebook.com/Shillington.FB,https://twitter.com/Shillington_,1-212-682-6611
51,Metis,"Metis accelerates your career in data science. Our immersive courses, designed by world-class industry practitioners, provide you with intensive, on-site instruction, access to an extensive network of speakers and mentors, and ongoing career coaching and employment support.",http://www.thisismetis.com/,info@thisismetis.com,Metis 79 Madison Avenue,New York,United States,10016,https://www.facebook.com/ThisIsMetis,https://twitter.com/thisismetis,1-4252740657
52,Nashville Software School,"Nashville Software School (NSS) is a place where a person with aptitude, motivation, passion and commitment can learn the craft of software development.",http://nashvillesoftwareschool.com/,info@nashvillesoftwareschool.com,283 Plus Park Blvd Nashville,Nashville,United States,37217,https://www.facebook.com/NashvilleSoftwareSchool,https://twitter.com/NashSoftware,nil
53,School of Devs,"School of Devs helps tech startups, companies and projects with development resources and guidance.",http://www.schoolofdevs.com/,info@schoolofdevs.com,3209 Via Lido,Newport Beach,United States,92663,https://www.facebook.com/schoolofdevs,https://twitter.com/SchoolofDevs,1-888-432-DEVS-3387
54,SeedPaths,SeedPaths invests in training the next generation of technologists. Are,http://seedpaths.com/,patrick@seedpaths.com,800 Grant St #120,Denver,United States,80203,https://www.facebook.com/Seedpaths,https://twitter.com/seedpaths,603-762-1729
55,Free Code Camp,"We're an open source community of busy people who learn to code, then practice by building projects for nonprofits.",http://www.freecodecamp.com/,team@freecodecamp.com,nil,nil,nil,nil,https://www.facebook.com/freecodecamp,https://twitter.com/freecodecamp,nil
56,Tealeaf Academy,"An online school for developers, focusing on Ruby and Rails courses.",http://www.gotealeaf.com/,support@gotealeaf.com,nil,nil,nil,nil,https://www.facebook.com/gotealeaf,https://twitter.com/gotealeaf,800-935-2162
57,Coder Vox,"Coder Vox is a 12 week immersive programming bootcamp located in Austin, TX. The course teaches PHP, HTML, CSS, JavaScript, Git, and other tools used by professional web developers.",http://codervox.com/,info@codervox.com,8500 Shoal Creek Blvd Bldg. 4 Suite 201B,Austin,United States,78757,https://www.facebook.com/codervox,https://twitter.com/codervox,nil
58,TurnToTech,"Immersive iOS, Android & Rails coding school & incubator; project-driven curriculum; 1 to 1 mentorship; Work on real projects.Full-time & part-time classes",http://turntotech.io/education/,nyc@turntotech.io,184 5th Avenue 4th Floor,New York,United States,10010,https://www.facebook.com/Turntotech,https://twitter.com/turntotech,212-924-8324
59,Viking Code School,An intensive online web development and job placement program with no fee until you get a job,http://www.vikingcodeschool.com/,hello@vikingcodeschool.com,nil,nil,nil,nil,https://www.facebook.com/vikingcodeschool,https://twitter.com/vikingeducation,nil
60,AcadGild,AcadGild is an online training academy which teaches web and mobile application development. AcadGild provides mentor driven online courses in frontend web development and Android app development.,http://acadgild.com/,enquiry@acadgild.com,340 S Lemon Ave #3459,Walnut,United States,91789,https://www.facebook.com/acadgild,https://twitter.com/acadgild,760-284-3123
61,Claim Academy,"We build the programmers St. Louis needs through 12-week bootcamp-style courses in Java, Ruby, .NET, and QA.",http://claimacademystl.com/,info@claimacademystl.com,515 Olive St #600,St. Louis,United States,63101,https://www.facebook.com/claimacademy,https://twitter.com/claimacademystl,314-499-5888
62,Code Cloud,CodeCloud is a platform for collaboratively developing and learning to create innovative products.,https://www.codecloud.me/,info@codecloud.me,nil,nil,nil,nil,https://www.facebook.com/codecloudme,https://twitter.com/codecloudme,1-917-524-9962
63,CodePath,"CodePath is an organization that provides free, accelerated mobile engineering classes for professional developers and designers.",http://codepath.com/,contact@codepath.com,625 2nd St,San Francisco,United States,94107,,https://twitter.com/thecodepath,nil
64,CodeStream Labs,"CodeStream Labs is a dev shop based out of San Francisco offering courses in Full Stack Development, iOS, Android, Ruby, and UX Design.",http://www.codestreamlabs.com/,info@codestreamlabs.com,505 Montgomery Street 11th Floor,San Francisco,United States,94111,,https://twitter.com/codestreamlabs,1-415-741-7837
65,Delta Program,The Delta Program is a collection of passionate people looking to change the future of mobile technology.,http://deltaprogram.us/,info@deltaprogram.us,912 Congress Avenue,Austin,United States,78701,https://www.facebook.com/TheDeltaProgram,https://twitter.com/DeltaProgram,1-415-412-9324
66,Grand Circus,"Grand Circus is a proud downtown Detroit company, and we’re passionate about bridging the gap between Detroiters and the businesses here who want to hire great people.",http://www.grandcircus.co/,hello@grandcircus.co,"1570 Woodward, Level 3",Detroit,United States,48226,https://www.facebook.com/GrandCircusCo,https://twitter.com/GrandCircusCo,1-313-338-2780
67,LAMP Camp,"LAMP Camp is an extension program of the Cresca Group's IT and Development Team that gives people the access, resources and guidance to learn PHP, MySQL, Linux and much more.",http://www.lampcamp.guru/,contact@lampcamp.guru,6760 Jimmy Carter Blvd,Norcross,United States,30071,https://www.facebook.com/lampcampguru,https://twitter.com/lampcampatl,nil
68,iNVASIVECODE,"We’re a diverse team of engineers and designers, with extensive expertise that spans global industries.",https://www.invasivecode.com/index.html,hello@invasivecode.com,25 Taylor St,San Francisco,United States,94102,https://www.facebook.com/invasivecode?,https://twitter.com/invasivecode,1-415-216-9693
69,Make School,"Make School was founded in 2012, we’ve taught over 500 students through in person courses and over a million students through online tutorials.",https://www.makeschool.com/,hello@makeschool.com,1547 Mission Street,San Francisco,United States,94103,https://www.facebook.com/makeschool,https://twitter.com/makeschool,1-415-814-0980
70,Orange County Code School,"Orange County Code School is a 12 Week Full-stack Code Bootcamp located in Orange County, California.",https://www.orangecountycodeschool.com/,nil,1691 Kettering St.,Irvine,United States,92614,https://www.facebook.com/orangecountycodeschool,https://twitter.com/OCCSDEV,1-844-OCCS-DEV
71,Portland Code School,"PCS is dedicated to delivering high quality educational opportunities, and preparing people for jobs in the tech industry as web developers.",portlandcodeschool.com,info@portlandcodeschool.com,"735 SW 20th Place, Suite 230",Portland,United States,97209,https://www.facebook.com/PortlandCodeSchool,https://twitter.com/PDXCodeSchool,nil
72,The Firehose Project,"We change people's lives so they can do what they love, every single day. Our students learn to code and thrive in the technical world of startups.",http://www.thefirehoseproject.com/,marco@thefirehoseproject.com,nil,nil,nil,nil,https://www.facebook.com/theFirehoseProject,https://twitter.com/firehoseProject,nil
73,Academy X,"AcademyX has been in business since 2000 and has trained over 15,000 students teaming with top-notch instructors from around the world.",http://www.academyx.com/,sanfrancisco@academyx.com,"601 Montgomery St., Suite 409",San Francisco,United States,94111,https://www.facebook.com/academyx2,https://twitter.com/academyx,"415-392-8024
"
74,Ada Developers Academy,Ada Developers Academy (Ada) is an intensive software developer training school for women.,http://adadevelopersacademy.org/,contact@adadevelopersacademy.org,1100 2nd Avenue Suite 500 tes,Seattle,United States,98101,https://www.facebook.com/adadevelopers,https://twitter.com/adaacademy,nil
75,AIT Learning,"We are Washington DC area based IT bootcamp company specializes in training experienced professionals from banking, finance and accounting background to make them high level IT Consultants on par with Accenture/Deloitte.",http://aitlearning.com/,info@aitlearning.com,641 S Street NW,Washington,United States,20001,https://www.facebook.com/aitlearning1,http://twitter.com/aitlearning,1-571-403-1705
76,American Graphics Institute,"AGI provides organizations and individuals with training and support for design, marketing, and publishing technology.",https://www.agitraining.com/,info@agitraining.com,120 Presidential Way,Woburn,United States,1801,https://www.facebook.com/pages/American-Graphics-Institute/103756899688507,https://twitter.com/agitraining,1-800-851-9237
77,AngelHack Education,AngelHack’s mission is to provide a bridge to the international technology community and the Silicon Valley.,http://angelhack.com/education/,info@angelhack.com,"1459 18th Street, PMB #192",San Francisco,United States,94107,https://www.facebook.com/AngelHackHQ,https://twitter.com/AngelHack,1-800-897-0179
78,Athena Tech Academy,"Athena Tech Academy offers intensive, hands-on six and 12-week accelerated programs to become a Hadoop Operator or Hadoop Full Stack Engineer.",http://www.athenatechacademy.com/,info@athenatechacademy.com,530 Lakeside Drive,Sunnyvale,United States,94085,,https://twitter.com/AthenaTechAcdmy,408-444-5213
79,Atlanta Code,Atlanta Code is an enterprise software development training provider. We teach you how to become the best enterprise software developer you can possibly be.,http://atlantacode.com/,info@atlantacode.com,11600 Atlantis Place,Alpharetta,United States,30022,,https://twitter.com/atlantacode,1-770-300-9486
80,Austin Coding Academy,"At Austin Coding Academy, our job is to bring students to job-ready level proficiency. We offer two curricula for students, each one consisting of three levels: Intro, Intermediate and Advanced.",http://www.austincodingacademy.com/,info@austincodingacademy.com,1408 E 13th St,Austin,United States,78702,https://www.facebook.com/AustinCodingAcademy,https://twitter.com/AustinCoding,512-827-8498
81,Beach Coders Academy,Beach Coders is a disruptive new computer coding school serving the Los Angeles South Bay (Silicon Beach South).,http://beachcoders.com/,support@beachcoders.com,615 North Nash Ave,El Segundo,United States,90245,https://www.facebook.com/pages/Beach-Coders-Academy/865188423556356,https://twitter.com/beachcoders,424-254-9650
82,Betamore Academy,Betamore is a campus for technology + entrepreneurship located in the heart of the Federal Hill neighborhood of downtown Baltimore.,https://betamore.com/academy/,hello@betamore.com,1111 Light Street 4th Floor,Baltimore,United States,21230,https://www.facebook.com/morebeta?_rdr=p,https://twitter.com/betamore,nil
83,Big Nerd Ranch,"The Big Nerd Ranch we all love traces its origins back to 1979, when ties were wide and shoes were tall. While the rest of the world was dancing under a disco ball, 10-year-old Aaron Hillegass was delving into computer programming.",https://www.bignerdranch.com/,info@bignerdranch.com,200 Arizona Ave NE,Atlanta,United States,30307,https://www.facebook.com/bignerdranch,https://twitter.com/bignerdranch,770-817-6373
84,Blur State,"Blur State is a new type of coding bootcamp. Not only will we teach you the skills you need to start your new career but we work closely with our partnering companies to develop our curriculum so you will be ready for the workforce, potentially moving right into a new job when you are done.",http://www.blurstate.com/,info@blurstate.com,"509 W Spring Street, Suite 260",Fayetteville,United States,72701,https://www.facebook.com/blurstate?fref=ts,https://twitter.com/blurstatecode,nil
85,BoiseCodeWorks,BoiseCodeWorks provides students the opportunity to learn and study in a team environment that simulates the current industry standards.,https://boisecodeworks.com/,nil,1514 E Nebraska Ave,Nampa,United States,83686,https://www.facebook.com/boisecodeworks?_rdr,https://twitter.com/boisecodeworks,"208-391-5162-
"
86,CodeAbode,"We are a new Chicago-based code academy, designed to turn students into web and mobile app developers.",http://codeabode.com/,scott@codeabode.com,"175 W. Washington St. 
",Chicago,United States,60602,https://www.facebook.com/CodeAbode,https://twitter.com/codeabode_chi,630-235-6282
87,Codecademy,"Codecademy is an education company. But not one in the way you might think. We're committed to building the best learning experience inside and out, making Codecademy the best place for our team to learn, teach, and create the online learning experience of the future.",http://www.codecademy.com/,support@codecademy.com,"49 W 27th Street, 4th Floor",New York City,United States,10001,https://www.facebook.com/codecademy,https://twitter.com/codecademy,nil
88,CODEcamp,CODEcamp is an array of classes and workshops in open source technologies taught by Charleston industry professionals.,http://www.chscodecamp.com/,"
info@chscodecamp.com",475-A East Bay Street,Charleston,United States,29403,https://www.facebook.com/CharlestonDigitalCorridor,https://twitter.com/chsdigital,1-843-724-3773
89,Code Chicago,"Code Chicago is a series of hands-on, 10-12 week mobile Android, iOS and web (Ruby on Rails, HTML5/CSS/Javascript) programming and design courses held at the innovation center, BLUE1647, where every participant will work with one another and join in the spirit of collaboration and learning.",http://www.codechicago.com/#courses,antonio@blue1647.com,1647 S. Blue Island Ave. (1st floor),Chicago,United States,60608,https://www.facebook.com/Blue1647,https://twitter.com/codechicago,1-312-624-9655
90,CodeClub,"We are the premier, in-person, software-engineering program in Los Angeles, specifically designed for the exceptionally motivated looking to break into the tech industry.",http://codeclub.la/,"
join@codeclub.la",400 Corporate Pointe,Culver City,United States,90230,https://www.facebook.com/wesabio,https://twitter.com/codeclubla,562-307-7589
91,CodeCraftSchool,"CodeCraft School of Technology was created by the co-founders of Boulder Digital Arts, which has provided award-winning training to digital professionals since 2004.",http://www.codecraftschool.com/,info@codecraftschool.com,"1600 Range Street, Suite 101
",Boulder,United States,80301,https://www.facebook.com/codecraftschool,https://twitter.com/codecraftschool,720-507-4865
92,CodeNinja,"CodeNinja provides two programs: RAMP, a part-time nights and weekend, and FULL-TIME, a twelve week full-time program.",http://code-ninja.co/,ninja@code-ninja.co,"688 W. 1st St, Suite 2",Tempe,United States,85281,https://www.facebook.com/CodeNinjaUS?fref=ts,https://twitter.com/CodeNinjaUS,nil
93,Codesmith,Codesmith teaches students across the US modern programing with JavaScript so they can launch their careers as software engineers.,codesmith.io,hello@codesmith.io,5300 Beethoven St,Los Angeles,United States,90046,https://www.facebook.com/codesmithhq,https://twitter.com/codesmithio,nil
94,Code Union,Learn new technical skills without putting your life on hold.,codeunion.io,hello@codeunion.io,201 Post St,San Francisco,United States,94108,https://www.facebook.com/CodeUnionIO?_rdr=p,https://twitter.com/CodeUnionIO,nil
95,Craftsmanship Academy,"Whether you know a little about software, or a lot about software, we will teach you both new skills and how the best software craftsman use them.",http://craftsmanshipacademy.com/,communications@craftsmanshipacademy.com,6720 Rolemodel Way,Holly Springs,United States,27540,https://www.facebook.com/craftsmanshipacademy,https://twitter.com/swcraftacademy,919-557-7550
96,Data Science Dojo,"At Data Science Dojo, we are all about data science. For businesses that are not among the likes of LinkedIn, Facebook, Amazon, Microsoft, and Google, building a data science team may not be possible.",http://datasciencedojo.com/,help@datasciencedojo.com,2205 152nd Ave NE,Redmond,United States,98052,https://www.facebook.com/datasciencedojo,https://twitter.com/datasciencedojo,nil
97,devCodeCamp,Our mission is to empower individuals and disrupt traditional education with our flex and fully immersive software development bootcamps.,http://devcodecamp.com/,"hello@devcodecamp.com 
",20633 Watertown Court,Waukesha,United States,53186,https://www.facebook.com/devCodeCamp,https://twitter.com/devcodecamp,262-901-1406
