program_name,duration_weeks,price,max_class_size,full_time,format,school_id,school_name
Web Development Immersive,10,11500,nil,TRUE,In Person,10,General Assembly
Analytics,10,3500,nil,FALSE,In Person,10,General Assembly
Back-End Web Development,10,3500,nil,FALSE,In Person,10,General Assembly
Data Science,11,4000,nil,FALSE,In Person,10,General Assembly
Digital Marketing,10,3500,nil,FALSE,In Person,10,General Assembly
Front-End Web Development,10,3500,nil,FALSE,In Person,10,General Assembly
Mobile Development,12,4750,nil,FALSE,In Person,10,General Assembly
Product Management,10,3250,nil,FALSE,In Person,10,General Assembly
User Experience Design,12,4000,nil,FALSE,In Person,10,General Assembly
Visual Design,8,2800,nil,FALSE,In Person,10,General Assembly
Front-End Development Bootcamp,18,7500,nil,TRUE,Hybrid,11,Grand Circus
Hack Reactor,12,17780,nil,TRUE,In Person,12,Hack Reactor
Software Engineering Fellowship,10,15000,nil,TRUE,In Person,13,Hackbright Academy
Introduction to Programming,10,3000,nil,FALSE,In Person,13,Hackbright Academy
Front End Web Development,10,3000,nil,FALSE,In Person,13,Hackbright Academy
Full Stack Web Development,10,3000,nil,FALSE,In Person,13,Hackbright Academy
Ruby On Rails (Winter 2015),9,15500,nil,TRUE,Hybrid,14,Launch Academy
Ruby On Rails (Spring 2016),10,18500,nil,TRUE,Hybrid,14,Launch Academy
Web Development Immersive Full-Time Bootcamp,8,8000,7,TRUE,Hybrid,15,Lighthouse Labs
iOS Development Immersive Full-Time Bootcamp,8,8000,5,TRUE,Hybrid,15,Lighthouse Labs
Intro to Web Development,6,1225,nil,FALSE,Hybrid,15,Lighthouse Labs
Web Design,9,6500,nil,TRUE,In Person,16,Startup Institute
Web Development,9,6500,nil,TRUE,In Person,16,Startup Institute
Technical Marketing,9,6500,nil,TRUE,In Person,16,Startup Institute
Sales & Account Management,9,6500,nil,TRUE,In Person,16,Startup Institute
Intro to Web Design,7,600,nil,FALSE,In Person,16,Startup Institute
Intro to Ruby,7,600,nil,FALSE,In Person,16,Startup Institute
Intro to JavaScript,7,600,nil,FALSE,In Person,16,Startup Institute
Intro to Technical Marketing,7,600,nil,FALSE,In Person,16,Startup Institute
Web Development,10,8000,nil,TRUE,In Person,17,Starter League
Web Development Immersive,12,15000,nil,TRUE,In Person,18,The Flat Iron School
iOS Development Immersive,12,15000,nil,TRUE,In Person,18,The Flat Iron School
NYC Web Development Fellowship,22,0,32,TRUE,In Person,18,The Flat Iron School
Frontend Web Developer,12,300,1,TRUE,Online,19,Thinkful
Programming in Python,12,500,1,TRUE,Online,19,Thinkful
Web Development in Rails,8,500,1,TRUE,Online,19,Thinkful
Frontend in AngularJS,12,500,1,TRUE,Online,19,Thinkful
Backend in Node.js,12,500,1,TRUE,Online,19,Thinkful
Modern Web Design,8,300,1,TRUE,Online,19,Thinkful
User Experience Design,8,300,1,TRUE,Online,19,Thinkful
Data Science in Python,12,500,1,TRUE,Online,19,Thinkful
iOS Programming in Swift,12,500,1,TRUE,Online,19,Thinkful
Android Mobile Development,12,500,1,TRUE,Online,19,Thinkful
Frontend Career Path,3,999,1,TRUE,Online,19,Thinkful
Software Development Bootcamp,20,9000,nil,TRUE,Hybrid,20,The Tech Academy Portland
Web Development program,28,17500,28,TRUE,In Person,21,Turing School of Software & Design
Intro & Intermediate JavaScript,1,2500,nil,FALSE,In Person,22,Eleven Fifty Academy
